No.	PN Title	Content	Sector	Customer	Focus	Services	Technology	Application	Tools	Published	Presentation	Author	Name	Project	Modified By	Modified	Item Type	Path
607	Energiesparen beim Duschen - wie groß ist das Potenzial?	Der Warmwasserbedarf wird neben der Raumheizung zum größten Verbraucher in Haushalten. Ein Anbieter von Sanitär­produkten sucht mit Zühlke nach innovativen Lösungen für eine Wärmerückgewinnung beim Duschen.	Devices & Apparatus	neutral	Product Innovation	"Development;#_ Product innovation;#Energy Efficiency & EcoDesign"	Energy Efficiency		"ANSYS;#MathCAC; VDI Wärmeatlas"	14.01.2011		daz	pn_607_d_energiesparen-dusche_web.pdf		Martin, Elisabeth	04.07.2011 11:34	Item	services/bd/pn/Project Notes published
606	Optimierte Business Solutions erhöhen Kundenzufriedenheit	Swisscom will ihre Kundencenter-Lösung sowie den Online-Bestellkanal verbessern. Zühlke analysiert das Optimierungspotenzial, koordiniert zwischen Business- und IT Abteilung und begleitet die Test- und Umsetzungsphase.	Telecommunications	Swisscom	Management Consulting	"Consulting;#_ Management Consulting;#__ Business Process Management;#_ Methodology;#__ Business Modelling;#__ Requirements Engineering;#__ Design Methods"		Information Systems	Modellierung: Artisan, Select	12.05.2011		ska	pn_606_d_analyse_ebusiness_web.pdf		Martin, Elisabeth	09.06.2011 14:30	Item	services/bd/pn/Project Notes published
605	Von der Idee zum Projekt - schneller mit Methode	Die Swisscom möchte die Idee für ein neues Angebot konkreter fassen. Zühlke unterstützt den Kunden dabei, mithilfe der Speed-Creation-Methode in kurzer Zeit Business-Anforderungen zu bestimmen und ein Projektteam aufzustellen.	Telecommunications	Swisscom	Management Consulting	"Consulting;#_ Management Consulting;#__ Business Process Management"				03.03.2011		krs	pn_605_d_projektidee-speed_web.pdf		Martin, Elisabeth	13.05.2011 08:29	Item	services/bd/pn/Project Notes published
604	Mehr Effizienz durch Turbolader einfach visualisert	ABB Turbo Systems AG optimiert mit einer Simulationssoftware die Aufladung von Diesel- und Gasmotoren. Zühlke reali­siert eine graphische Benutzeroberfläche, die die Komplexität der Konfiguration reduziert und dadurch die Kosten senkt.	Machinery & Plants	ABB	Software Solutions	"Development;#__ Bespoke Solutions;#__ Development support"	NET	Migration	"C#;#WPF;#XML"	23.03.2011		"sbr; gbu"	pn_604_d_gui_turbolader_web.pdf	C12684	Martin, Elisabeth	11.07.2011 08:45	Item	services/bd/pn/Project Notes published
603	Fit für besseres Hören mit neuer Software-Plattform	Phonak lanciert eine neue Generation von Hörgeräten und entwickelt mittels benutzerzentriertem Vorgehen eine komplett neue Anpass-Software. Zühlke unterstützt die Entwicklung vom ersten Prototypen bis zum fertigen Produkt.	Medical & Laboratory Devices	Phonak	Software Solutions	"Development;#__ Development support"	Agile Methods	Information Systems	"C#;#MS .NET Framework;#MS Excel;#Windows;#WPF;#Subversion; Expression Blend; Benutzerorientiertes Design"	09.12.2010		olb, moc	pn_603_d_software-hoerloesungen_web.pdf	C12131	Martin, Elisabeth	09.12.2010 09:59	Item	services/bd/pn/Project Notes published
602	Basler Privatbank profitiert von individueller Softwarelösung	Zühlke realisiert gemeinsam mit einer Privatbank ein zentrales Bankensystem auf einer modernen Java-Plattform. Das kundenspezifisch entwickelte System ist ideal auf die Bedürfnisse der Privatbank zugeschnitten.	Banking & Financial Services	Dreyfus	Software Solutions	"Consulting;#_ Methodology;#__ Requirements Engineering;#__ Design Methods;#Development;#__ Development support"	"Agile Methods;#Java EE"	Information Systems	"CruiseControl;#Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JDBC;#Java Swing; DB2"	27.10.2010		"gro; dir"	pn_602_d_bankensoftware-individuell_web.pdf		Martin, Elisabeth	08.07.2011 10:57	Item	services/bd/pn/Project Notes published
601	Gut informierte Kunden fahren lieber Bahn	Bahnreisende bei der Rhätischen Bahn sind dank eines zentralen Systems stets über den aktuellen Fahrplan informiert. Zühlke entwickelt dieses System, das komplexe Daten einfach und schnell für verschiedene Zwecke bereitstellt.	Transportation & Logistics	RhB	Software Solutions	"Development;#_ Software solutions;#__ Bespoke Solutions"	"Java EE;#Web Services;#Java SE"	Information Systems	"Eclipse;#Hibernate;#HTML;#Java Standard Edition;#JSF;#Oracle;#SOAP;#JAXB; JAX-WS; Ivy"	15.10.2010		sds	pn_601_d_bahnreise-infosystem_web.pdf	C12282	Martin, Elisabeth	27.10.2010 08:36	Item	services/bd/pn/Project Notes published
600	Scrum ebnet den Weg zur neuen Maschine	Ein Schweizer Maschinenbauer entwickelt ein neues Produkt. Zühlke arbeitet mit in der Entwicklung von der Studie bis zur Markteinführung. So gelingt es, eine organisch gewachsene Software durch eine einfach erweiterbare zu ersetzen.	Machinery & Plants	Kern	Software Solutions	"Consulting;#_ Technology Consulting;#__ Technology Consultation;#__ Technology Expertise;#_ Methodology;#__ Software Development Process;#Development;#__ Development support;#__ Project management"	Real-Time and Embedded Software	"Embedded Systems;#Machine Control Systems"	"C++;#Rhapsody;#Scrum"	02.12.2010		"psc; hin"	pn_600_d_schneidemaschine_scrum_web.pdf	C12751	Martin, Elisabeth	25.01.2011 08:14	Item	services/bd/pn/Project Notes published
597	Mit optimierten Testprozessen zu besserer Software	Effizienz in der Applikationsentwicklung sowie Durchgängigkeit zwischen den Projekten sind wichtige Ziele eines Soft­areherstellers. Ein Testprozess-Assess­ment zeigt, wie die Testorganisation zu diesen Zielen beitragen kann. 	SW Products & Services	Abraxas	"Software Solutions;#Management Consulting"	"Consulting;#_ Management Consulting;#__ Change Management;#_ Methodology;#__ Software-Testing;#__ Testing"				30.03.2011		"wkl;rma"	pn_597_d_testing_optimieren_web.pdf		Martin, Elisabeth	30.03.2011 08:46	Item	services/bd/pn/Project Notes published
592	Testmanagement für Systeme im öffentlichen Verkehr	Der Zürcher Verkehrsverbund beschafft ein neues Vertriebssystem und neue Ver­kaufsgeräte. Zühlke erhält den Auftrag, den Abnahmetest der Lieferung sicherzustellen und zu koordinieren.	Transportation & Logistics	ZVV & VBZ	"Software Solutions;#Product Innovation"	"Consulting;#_ Methodology;#__ Software-Testing;#__ Testing;#__ Quality assurance"				02.12.2010		mo	pn_592_d_testmanagement_oev_web.pdf	P3755, C10452	Martin, Elisabeth	02.12.2010 12:27	Item	services/bd/pn/Project Notes published
584	Post-Merger-Integration der IT	Ein führendes Unternehmen für Sprachdienstleistungen realisiert eine größere Firmenübernahme. Zühlke untersucht, welche IT-Lösung künftige Anforderungen der Gesamtfirma am besten abdeckt und begleitet das Projekt. 	Others	neutral	Management Consulting	"Consulting;#__ IT Strategy & Enterprise Architecture"		Information Management		09.04.2010		wam	pn_584_d_it-merger_web.pdf		Martin, Elisabeth	25.01.2011 14:51	Item	services/bd/pn/Project Notes published
583	70% tiefere Kosten für IT-Infrastruktur-Betrieb	Zühlke führt bei einem Dienstleistungsunternehmen ein IT-Audit durch. Dies ist die Basis für die neue IT-Strategie. Das Optimierungskonzept zeigt, dass die IT mit einem Drittel der bisherigen Kosten ihre Aufgaben erfüllen kann.  	Banking & Financial Services	neutral	Management Consulting	"Consulting;#_ Management Consulting;#__ Organisation development;#__ IT Strategy & Enterprise Architecture;#_ Technology Consulting;#_ Methodology;#__ Project management;#Integration;#_ Change Management"		"Information Systems;#Innovation Management;#Information Management"		17.03.2010		hpm	pn_583_d_it-infrastruktur-optimierung_web.pdf		Martin, Elisabeth	17.06.2010 13:51	Item	services/bd/pn/Project Notes published
582	Projektmanagement beim Umzug der Flugsicherung	"Projektleiter von Zühlke koor­dinieren die Zusammenarbeit mehrerer Teams, die den Umzug der Flugsicherung an einen neuen Standort vorbereiten. Know-how und Erfahrung der Zühlke Experten entlasten das Management des Kunden."	Transportation & Logistics	Skyguide	Software Solutions	"Consulting;#_ Methodology;#__ Project management"		Information Systems	"MS Excel;#MS Project; TimeWinner"	10.06.2010		gse/rma	pn_582_d_flugsicherung-projektmanagement_web.pdf	C12102	Martin, Elisabeth	17.06.2010 13:53	Item	services/bd/pn/Project Notes published
581	End 2 End Transparenz dank Webservice Barcode	Zühlke entwickelt mit dem Webservice Barcode in kurzer Zeit eine hochflexible Adressträger-Generierungsplattform. Diese trägt dazu bei, die Supply Chain bei der Schweizerischen Post und deren Kunden zu optimieren.	Transportation & Logistics	Postlogistics	Software Solutions	"Development;#_ Software solutions;#__ Bespoke Solutions"	"Java EE;#Web Services"	Information Systems	"Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JSF;#JSP;#Linux;#Maven;#Oracle;#SOAP;#Hudson; Nexus; JAX-WS; Barcode4J;iText; Facelets; SoapUI"	25.02.2010		cha/fsc	pn_581_d_webservice-barcode_web.pdf	c12394	Martin, Elisabeth	09.12.2010 09:02	Item	services/bd/pn/Project Notes published
579	Agile Stabilisierung einer Legacy-Anwendung	Zühlke unterstützt die Innovation Group bei der Stabilisierung einer geschäfts­kritischen Legacy-Anwendung. Iteratives Re-Engin­eering und agile Weiterentwicklung sichern die Nutzung der Lösung für den Rest ihrer Lebenszeit.	Insurance	Innovation Group	Software Solutions	"Consulting;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#__ Quality assurance;#Development;#_ Software solutions;#__ Development support;#Integration"	".NET;#Agile Methods"	Information Systems	"MS .NET Framework;#MS SQL;#UML;#Windows;#BPMN; Team Foundation Server"	09.02.2010		tor	pn_579_d_stabilisierung_anwendung_web.pdf	c12216	Martin, Elisabeth	17.06.2010 13:57	Item	services/bd/pn/Project Notes published
578	Das Gebäude in der Westentasche	Lässt sich ein visionäres Konzept in kurzer Zeit und mit einem neuen Entwicklerteam zu einem marktreifen Produkt für die Gebäudeautomation formen? Zühlke macht dies möglich und unterstützt den Kunden bei der Entwicklung. 	Measuring, Steering & Control	mivune	Software Solutions	"Consulting;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#Development;#_ Software solutions;#__ Bespoke Solutions;#__ Project management"	Real-Time and Embedded Software	"Mobile Computing;#Rich Internet Applications;#Embedded Systems;#Control Systems"	"Eclipse;#HTML;#J2SE;#Java Script;#Linux;#SOAP;#UML;#XML;#openArchitectureWare"	17.12.2009		ndu, dav	pn_578_d_gebaeudeautomation_web.pdf	C11718	Martin, Elisabeth	17.06.2010 13:59	Item	services/bd/pn/Project Notes published
577	Software Architektur Review   für Verkehrssteuerung	Eine Echtzeit-Steuerungssoftware soll auf einer neuen Hardware-Plattform laufen. Zühlke unterstützt den Kunden bei der Anpassung der Software Architektur und den Tests des sicherheits­kritischen Systems. 	Transportation & Logistics	VR AG	Software Solutions	"Consulting;#_ Technology Consulting;#__ Technology Expertise;#Development;#__ Development support"	Real-Time and Embedded Software	Embedded Systems	"C++;#RTOS"	08.03.2010		dth	pn_577_d_realtime-assessment_web.pdf	c10349	Martin, Elisabeth	17.06.2010 14:00	Item	services/bd/pn/Project Notes published
575	ESB-Evaluation für eine Universität	Zühlke unterstützt das University College London mit einem systematischen Vorgehen bei der Auswahl einer Service-Orchestrierungsumgebung, die beim Übergang zu einer serviceorientierten Architektur helfen soll.  	Others	UCL	Software Solutions	"Consulting;#_ Technology Consulting;#__ Technology Expertise;#Development;#__ Development support"	"BizTalk;#Java EE"	Client Infrastructure	"C#;#Eclipse;#Java EE;#MS SQL;#Oracle;#SOAP;#Windows"	18.12.2009		zas	pn_575_d_esb-evaluation_web.pdf		Martin, Elisabeth	17.06.2010 14:00	Item	services/bd/pn/Project Notes published
574	Immobilien-Portal steigt auf neue IT-Infrastruktur um	Der Erfolg fordert einen Immobilienanbieter heraus: Die wachsende Besucherzahl des Internetportals erfordert eine neue leistungsfähigere IT-Infrastruktur. Zühlke übernimmt die technische Projektleitung beim Umstieg.	Banking & Financial Services	PlanetHome	Software Solutions	"Consulting;#_ Methodology;#Development;#_ Software solutions;#__ Project management"	"Java EE;#Web Services"	Rich Internet Applications	"BEAWebLogic;#Eclipse;#JBoss; ITIL; Virtualisierung"	21.01.2010		jsi	pn_574_d_migration_immobilienportal_web.pdf	C11418	Martin, Elisabeth	17.06.2010 14:01	Item	services/bd/pn/Project Notes published
573	Schnellere Postverarbeitung mit neuer Softwarearchitektur	Zühlke unterstützt einen großen Herstel­ler von Automatisierungssystemen bei der Entwicklung einer Produktplattform für Postautomatisierung. Dank der verteilten Enterprise Java Architektur erreicht der Kunde eine höhere Wirtschaftlichkeit.	Transportation & Logistics	Siemens	Software Solutions	"Development;#_ Software solutions;#__ Development support"	Java EE	Automation Systems	"CORBA;#Eclipse;#Java Enterprise Edition;#JDBC;#JMS;#Oracle;#Patterns;#SessionBeans;#TogetherJ;#UML;#Windows;#XML;#JBoss; Spring; Java Servlet; JGroups"	28.09.2010		bvo	pn_573_d_postverarbeitung_web.pdf	C10464	Martin, Elisabeth	11.10.2010 12:29	Item	services/bd/pn/Project Notes published
572	CANopen Stack Portierung für die Bahntechnik	Im Auftrag eines Herstellers von Kommu­nikationstechnik für Schienenfahrzeuge portiert Zühlke den Open Source Stack CAN Festival auf ein FPGA-basiertes Gerät. Der Kunde kann sich auf die Applikationsentwicklung konzentrieren.	Transportation & Logistics	Duagon	Product Innovation	"Development;#_ Product innovation;#__ Product development"		"Embedded Systems;#Control Systems;#Machine Control Systems"	C++	07.12.2009		aeg	pn_572_d_can-open-bahntechnik_web.pdf	C12416	Martin, Elisabeth	17.06.2010 14:51	Item	services/bd/pn/Project Notes published
570	Schrittweise aus dem Wasserfall zu Scrum	Mit viel Prozess-Know-how und Fingerspitzengefühl unterstützt Zühlke den Kunden auf seinem Weg zu einem maßgeschneiderten Entwicklungsprozess. Motivation und Produktivität des Teams steigen.	Telecommunications	Swisscom	Software Solutions	"Consulting;#_ Methodology;#__ Software Development Process"	"Agile Methods;#Java EE"	"Information Systems;#Rich Internet Applications"	"CruiseControl;#Eclipse;#Java EE;#JSP;#Struts;#GWT; Agilo"	30.11.2009		"dob;cwi; fbe"	pn_570_d_scrum-einfuehrung_web.pdf	C12154	Martin, Elisabeth	17.06.2010 14:52	Item	services/bd/pn/Project Notes published
569	Zustandsbasierte Wartung von Rollmaterial ist möglich	Ein Bahnunternehmen wartet seine Züge in festen Intervallen mit Sicherheits­reserven. Zühlke analysiert systematisch, welches Sparpotenzial in einer zustandsbasierten Instandhaltung liegt und wie die Bahn diese umsetzen kann. 	Transportation & Logistics	SBB	Management Consulting	"Consulting;#__ Business Process Management"		"Innovation Management;#Information Management"	Systems Engineering	18.01.2010		mud	pn_569_d_instandhaltung-bahn_studie_web.pdf	P2254	Martin, Elisabeth	17.06.2010 14:56	Item	services/bd/pn/Project Notes published
567	Zufriedene Zugpassagiere dank aktueller Informationen	Zugpassagiere erhalten auf Anzeigen und per Lautsprecher Informationen auf Basis eines Infotainmentsystems im Zug. Zühlke realisiert eine komfortable und effiziente Lösung zur Aufbereitung der Daten.	Transportation & Logistics	RhB	Software Solutions	"Development;#_ Software solutions;#__ Bespoke Solutions"	Java EE	Rich Internet Applications	"Eclipse;#Hibernate;#HTML;#J2SE;#Oracle;#SOAP;#UML;#Facelets; JAXB; JAX-WS; Ivy"	13.11.2009		"sds; mbo"	pn_567_d_bahn-informationssystem_web.pdf	C12282	Martin, Elisabeth	27.10.2010 08:36	Item	services/bd/pn/Project Notes published
566	Effiziente Planung für den Strommarkt mit Silverlight	Eine Branchenlösung für Energieversorgungsunternehmen soll über das Web zugänglich gemacht werden. Zühlke bietet dem Kunden kompetente Tech­nologieberatung und ebnet damit den Weg für den Erfolg des Produktes.	Energy & Water	Encontrol	Software Solutions	"Consulting;#_ Technology Consulting"		Rich Internet Applications	"C#;#MS .NET Framework;#Silverlight"	17.11.2009		moc	pn_566_d_software_strommarkt_web.pdf	C10361	Martin, Elisabeth	17.06.2010 14:57	Item	services/bd/pn/Project Notes published
565	Qualität ins Produkt entwickeln  - dank Reliability Engineering	Die Zuverlässigkeit seiner Produkte ist für einen Hersteller in der Medizintechnik zentral. Für eine neue Gerätegeneration erarbeitet Zühlke eine methodische Testplanung als Benchmark für das bestehende Vorgehen.	Medical & Laboratory Devices	neutral	Product Innovation	"Consulting;#_ Methodology;#__ Testing;#__ Quality assurance"				13.11.2009		edt	pn_565_d_reliability-engineering_web.pdf	C11863	Martin, Elisabeth	17.06.2010 14:58	Item	services/bd/pn/Project Notes published
564	Sourcing-Strategie für die Anwendungsentwicklung	Fokussierung auf Kernaufgaben und Steigerung der Wachstumsfähigkeit durch flexible Strukturen: Zühlke Mana­gement Consultants begleiten eine Ver­sicherung auf dem Weg zu einer maß­geschneiderten Sourcing-Strategie.	Insurance	Basler Versicherungen	Management Consulting	"Consulting;#__ Business Process Management;#__ IT Strategy & Enterprise Architecture"		Information Management		02.11.2009		sts	pn_564_d_sourcing-anwendungsentwicklung_web.pdf	c10712	Martin, Elisabeth	25.01.2011 11:59	Item	services/bd/pn/Project Notes published
